BUILDING ADDRESS,BOROUGH,BUILDING IDENTIFICATION NUMBER,CONTROL NUMBER,EXTERIOR WALL TYPE,EXTERIOR WALL MATERIAL
35 BROAD STREET,Manhattan,1000823,900082,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, STUCCO/EIFS, TERRA COTTA"
38 EXCHANGE PLACE,Manhattan,1000825,900089,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
63 WALL STREET,Manhattan,1000828,900084,MASONRY LOAD-BEARING WALL,"GLASS, STEEL FRAME, MASONRY, NATURAL STONE, SHEET METAL"
450 NORTH END AVENUE,Manhattan,1085459,900042,MASONRY CAVITY WALL,"MASONRY, SHEET METAL"
38 BROAD STREET,Manhattan,1078985,900078,CONCRETE FRAME,"MASONRY, MASONRY CAVITY WALL"
41 MAIDEN LANE,Manhattan,1079043,900186,MASONRY CAVITY WALL,MASONRY
56 PINE STREET,Manhattan,1001009,900130,MASONRY LOAD-BEARING WALL,MASONRY
67 WALL STREET,Manhattan,1000829,900090,MASONRY LOAD-BEARING WALL,CAST IRON
14 MAIDEN LANE,Manhattan,1001091,900177,MASONRY LOAD-BEARING WALL,CAST IRON
84 PEARL STREET,Manhattan,1000855,900106,CONCRETE FRAME,CONCRETE
161 WILLIAM STREET,Manhattan,1001269,900252,OTHER,OTHER
135 WILLIAM STREET,Manhattan,1001192,900219,OTHER,CAST STONE
37 WARREN STREET,Manhattan,1001444,900316,MASONRY LOAD-BEARING WALL,MASONRY
80 JOHN STREET,Manhattan,1001115,900192,MASONRY LOAD-BEARING WALL,MASONRY
135 WILLIAM STREET,Manhattan,1001192,900253,MASONRY LOAD-BEARING WALL,CAST STONE
47 ANN STREET,Manhattan,1001272,900253,MASONRY LOAD-BEARING WALL,CAST STONE
37 WARREN STREET,Manhattan,1001444,900316,MASONRY LOAD-BEARING WALL,MASONRY
161 WILLIAM STREET,Manhattan,1001269,900252,OTHER,OTHER
135 WILLIAM STREET,Manhattan,1001192,900219,OTHER,CAST STONE
37 WARREN STREET,Manhattan,1001444,900316,MASONRY LOAD-BEARING WALL,MASONRY
80 JOHN STREET,Manhattan,1001115,900192,MASONRY LOAD-BEARING WALL,MASONRY
135 WILLIAM STREET,Manhattan,1001192,900253,MASONRY LOAD-BEARING WALL,CAST STONE
47 ANN STREET,Manhattan,1001272,900253,MASONRY LOAD-BEARING WALL,CAST STONE
37 WARREN STREET,Manhattan,1001444,900316,MASONRY LOAD-BEARING WALL,MASONRY
57 WORTH STREET,Manhattan,1001957,900391,OTHER,TERRA COTTA
93 WORTH STREET,Manhattan,1001883,900384,OTHER,CAST STONE
67 THOMAS STREET,Manhattan,1001621,900349,OTHER,OTHER
346 BROADWAY,Manhattan,1001835,900376,MASONRY LOAD-BEARING WALL,CAST IRON
